generation,best_fitness,avg_fitness,median_eta,median_lambda,median_drift
74,3.0,0.09375,0.10344835873298855,0.08465839935490031,0.040820722948694224
75,5.0,0.15625,0.10376308474379914,0.08465839935490031,0.07891469574534139
76,3.0,0.1015625,0.10274674578370942,0.08465839935490031,0.14910506671190635
77,3.0,0.1484375,0.10245288239408747,0.08514666971679474,0.07386927407800142
78,4.0,0.1015625,0.10264289886539801,0.0924304272310999,0.07399630758276762
79,4.0,0.1484375,0.1015020300314268,0.09384772586066159,0.1461696687341491
80,2.0,0.0546875,0.10101865478353922,0.09962973546872646,0.25984221760254517
81,3.0,0.078125,0.10100847408870299,0.15136200719957027,0.2215491821668662
82,3.0,0.09375,0.10108488770649243,0.2714349959557733,0.1624478460897027
83,4.0,0.1796875,0.10135411264419758,0.2714349959557733,0.09593953449869648
84,4.0,0.125,0.10153435317548601,0.2568254317504602,0.16694794067035906
85,5.0,0.1875,0.10161549650143534,0.2568254317504602,0.317198132094138
86,2.0,0.1171875,0.10095622903722484,0.21410394334123653,0.2589509427561669
87,4.0,0.25,0.1008305212463943,0.21410394334123653,0.1585284543931968
88,4.0,0.1796875,0.10017405277815672,0.2568254317504602,0.16204064899262582
89,4.0,0.1875,0.09948462830655841,0.2568254317504602,0.2879282101930346
90,4.0,0.2421875,0.09925161680205956,0.17594088475717332,0.39438746551809145
91,3.0,0.171875,0.09928592529131541,0.06219052108520693,0.4601285967741734
92,4.0,0.1796875,0.09933324675636677,0.06486687040221047,0.41125814608792377
93,4.0,0.2109375,0.09957131888954387,0.04263294201035374,0.4338501199550009
94,3.0,0.078125,0.0990832053720604,0.030387205119151734,0.5737818323521898
95,3.0,0.09375,0.09879272686790436,0.03903342104530086,0.4783127704626554
96,4.0,0.15625,0.09879272686790436,0.04263294201035374,0.49413382419511964
97,4.0,0.265625,0.0992125280886346,0.04263294201035374,0.540444449126727
98,4.0,0.1875,0.10053923069008548,0.04263294201035374,0.5949379071039709
99,5.0,0.21875,0.10074829600001334,0.07214324131326037,0.5616533971000695
100,4.0,0.234375,0.10017327804354002,0.07214324131326037,0.6096800976508066
101,5.0,0.171875,0.09928208999302053,0.11088963734236172,0.3815365821987524
102,4.0,0.328125,0.09791465805466998,0.1859627731149887,0.4915509508736501
103,5.0,0.3828125,0.09755223106332517,0.18295210382145924,0.28928225837362054
104,6.0,0.3046875,0.09674263003533876,0.13671289988662252,0.1808621629611818
105,5.0,0.2109375,0.09666226704162297,0.13671289988662252,0.22408207029148097
106,5.0,0.375,0.09643800280399398,0.13671289988662252,0.3556764152763141
107,5.0,0.375,0.09783753545251339,0.13671289988662252,0.30963364711617214
108,5.0,0.3125,0.09820620477116551,0.15329307742630616,0.2806051086835286
109,5.0,0.4296875,0.0997046525710805,0.15523262380591984,0.3613053547465631
110,4.0,0.3828125,0.1000045085170063,0.13671289988662252,0.28326034756052965
111,5.0,0.3828125,0.09980123900546575,0.1179370616012848,0.30547520216302904
112,5.0,0.265625,0.10019594915748797,0.10014547507237231,0.20743675080587465
113,5.0,0.28125,0.10105999550894613,0.1179370616012848,0.2605299999541504
114,4.0,0.421875,0.10118921897358547,0.12799554031673976,0.17116001921915638
115,5.0,0.1875,0.10040017343039337,0.13671289988662252,0.20446995494259163
116,5.0,0.125,0.09986056974104623,0.15329307742630616,0.5082195033492647
117,4.0,0.1796875,0.10038441241784474,0.155325538826899,0.6935137262766504
118,3.0,0.1171875,0.09993329016925329,0.155325538826899,0.41207624958346634
119,2.0,0.078125,0.10058234192469391,0.155325538826899,0.469792313420218
120,3.0,0.078125,0.100932898721457,0.155325538826899,0.3795441535048268
121,4.0,0.140625,0.10107176053257162,0.155325538826899,0.24321191328451333
122,5.0,0.1171875,0.10156885573241918,0.16009606206302554,0.3311326899458962
123,3.0,0.0625,0.10166089289095503,0.16450471700610858,0.22659301752625297
124,5.0,0.203125,0.10111004213064309,0.1726137978070646,0.2184110354111871
125,3.0,0.09375,0.10128257646769342,0.18212508319773837,0.2871052410655746
126,2.0,0.0859375,0.10147052644055801,0.1726137978070646,0.2912241409878884
127,3.0,0.078125,0.10233356689135402,0.1726137978070646,0.32681452145367473
128,4.0,0.15625,0.10172584600874753,0.16733889615262626,0.5306678452461957
129,4.0,0.03125,0.10163697251734424,0.16450471700610858,0.5184805651185331
130,6.0,0.1875,0.10144467573123844,0.147920544978734,0.5302933595639688
